chuva,deviceid,distancia,timestamp,varaltura,volume,alagamento
0,1,51,2023-04-27 21:37:14.491,1,1.5,0
0,1,51,2023-04-27 21:37:17.484,1,1.5,0
0,1,51,2023-04-27 21:37:19.5,1,1.5,0
0,1,52,2023-04-27 21:37:22.494,0,1.5,0
0,1,51,2023-04-27 21:37:25.502,1,1.5,0
0,1,51,2023-04-27 21:37:28.503,1,1.5,0
0,1,49,2023-04-27 21:37:30.504,3,1.5,0
0,1,53,2023-04-27 21:37:33.505,-1,1.5,0
0,1,53,2023-04-27 21:37:36.522,-1,1.5,0
0,1,50,2023-04-27 21:37:39.52,2,1.5,0
0,1,51,2023-04-27 21:37:41.529,1,1.5,0
0,1,48,2023-04-27 21:37:44.524,4,1.5,0
0,1,51,2023-04-27 21:37:47.532,1,1.5,0
0,1,52,2023-04-27 21:37:49.527,0,1.5,0
0,1,50,2023-04-27 21:37:52.536,2,1.5,0
0,1,48,2023-04-27 21:37:55.537,4,1.5,0
0,1,51,2023-04-27 21:37:58.545,1,1.5,0
0,1,50,2023-04-27 21:38:00.542,2,1.5,0
0,1,50,2023-04-27 21:38:03.557,2,1.5,0
0,1,50,2023-04-27 21:38:06.55,2,1.5,0
0,1,50,2023-04-27 21:38:08.566,2,1.5,0
0,1,50,2023-04-27 21:38:11.559,2,1.5,0
0,1,51,2023-04-27 21:38:14.563,1,1.5,0
0,1,50,2023-04-27 21:38:17.57,2,1.5,0
0,1,50,2023-04-27 21:38:19.578,2,1.5,0
0,1,50,2023-04-27 21:38:22.578,2,1.5,0
0,1,50,2023-04-27 21:38:25.578,2,1.5,0
0,1,50,2023-04-27 21:38:28.591,2,1.5,0
0,1,51,2023-04-27 21:38:30.596,1,1.5,0
0,1,50,2023-04-27 21:38:33.6,2,1.5,0
0,1,50,2023-04-27 21:38:36.6,2,1.5,0
0,1,52,2023-04-27 21:38:38.6,0,1.5,0
0,1,53,2023-04-27 21:38:41.605,-1,1.5,0
0,1,50,2023-04-27 21:38:44.605,2,1.5,0
0,1,52,2023-04-27 21:38:47.62,0,1.5,0
0,1,51,2023-04-27 21:38:49.614,1,1.5,0
0,1,50,2023-04-27 21:38:52.617,2,1.5,0
0,1,50,2023-04-27 21:38:55.617,2,1.5,0
0,1,50,2023-04-27 21:38:57.632,2,1.5,0
0,1,51,2023-04-27 21:39:00.626,1,1.5,0
0,1,48,2023-04-27 21:39:03.641,4,1.5,0
0,1,51,2023-04-27 21:39:06.641,1,1.5,0
0,1,48,2023-04-27 21:39:08.64,4,1.5,0
0,1,49,2023-04-27 21:39:11.64,3,1.5,0
0,1,49,2023-04-27 21:39:14.654,3,1.5,0
0,1,50,2023-04-27 21:39:17.649,2,1.5,0
0,1,49,2023-04-27 21:39:19.662,3,1.5,0
0,1,49,2023-04-27 21:39:22.661,3,1.5,0
0,1,49,2023-04-27 21:39:25.658,3,1.5,0
0,1,48,2023-04-27 21:39:27.661,4,1.5,0
0,1,50,2023-04-27 21:39:30.676,2,1.5,0
0,1,50,2023-04-27 21:39:33.682,2,1.5,0
0,1,52,2023-04-27 21:39:36.687,0,1.5,0
0,1,53,2023-04-27 21:39:38.681,-1,1.5,0
0,1,49,2023-04-27 21:39:41.689,3,1.5,0
0,1,50,2023-04-27 21:39:44.685,2,1.5,0
0,1,50,2023-04-27 21:39:46.702,2,1.5,0
0,1,51,2023-04-27 21:39:49.702,1,1.5,0
0,1,51,2023-04-27 21:39:52.696,1,1.5,0
0,1,50,2023-04-27 21:39:55.7,2,1.5,0
0,1,50,2023-04-27 21:39:57.706,2,1.5,0
0,1,50,2023-04-27 21:40:00.722,2,1.5,0
0,1,50,2023-04-27 21:40:03.713,2,1.5,0
0,1,51,2023-04-27 21:40:05.728,1,1.5,0
0,1,51,2023-04-27 21:40:08.728,1,1.5,0
0,1,48,2023-04-27 21:40:11.728,4,1.5,0
0,1,50,2023-04-27 21:40:14.726,2,1.5,0
0,1,51,2023-04-27 21:40:16.733,1,1.5,0
0,1,52,2023-04-27 21:40:19.737,0,1.5,0
0,1,50,2023-04-27 21:40:22.748,2,1.5,0
0,1,48,2023-04-27 21:40:25.748,4,1.5,0
0,1,51,2023-04-27 21:40:27.757,1,1.5,0
0,1,49,2023-04-27 21:40:30.752,3,1.5,0
0,1,51,2023-04-27 21:40:33.764,1,1.5,0
0,1,51,2023-04-27 21:40:35.765,1,1.5,0
0,1,51,2023-04-27 21:40:38.767,1,1.5,0
0,1,52,2023-04-27 21:40:41.775,0,1.5,0
0,1,50,2023-04-27 21:40:44.771,2,1.5,0
0,1,49,2023-04-27 21:40:46.782,3,1.5,0
0,1,49,2023-04-27 21:40:49.787,3,1.5,0
0,1,50,2023-04-27 21:40:52.788,2,1.5,0
0,1,50,2023-04-27 21:40:54.79,2,1.5,0
0,1,50,2023-04-27 21:40:57.785,2,1.5,0
0,1,51,2023-04-27 21:41:00.803,1,1.5,0
0,1,51,2023-04-27 21:41:03.803,1,1.5,0
0,1,49,2023-04-27 21:41:05.8,3,1.5,0
0,1,51,2023-04-27 21:41:08.805,1,1.5,0
0,1,50,2023-04-27 21:41:11.817,2,1.5,0
0,1,49,2023-04-27 21:41:14.811,3,1.5,0
0,1,50,2023-04-27 21:41:16.815,2,1.5,0
0,1,49,2023-04-27 21:41:19.821,3,1.5,0
0,1,51,2023-04-27 21:41:22.826,1,1.5,0
0,1,50,2023-04-27 21:41:24.834,2,1.5,0
0,1,49,2023-04-27 21:41:27.827,3,1.5,0
0,1,49,2023-04-27 21:41:30.845,3,1.5,0
0,1,49,2023-04-27 21:41:33.84,3,1.5,0
0,1,51,2023-04-27 21:41:35.841,1,1.5,0
0,1,50,2023-04-27 21:41:38.851,2,1.5,0
0,1,51,2023-04-27 21:41:41.86,1,1.5,0
0,1,48,2023-04-27 21:41:43.851,4,1.5,0
0,1,50,2023-04-27 21:41:46.862,2,1.5,0
0,1,49,2023-04-27 21:41:49.871,3,1.5,0
0,1,49,2023-04-27 21:41:52.87,3,1.5,0
0,1,50,2023-04-27 21:41:54.873,2,1.5,0
0,1,49,2023-04-27 21:41:57.871,3,1.5,0
0,1,49,2023-04-27 21:42:00.872,3,1.5,0
0,1,47,2023-04-27 21:42:03.885,5,1.5,0
0,1,51,2023-04-27 21:42:05.888,1,1.5,0
0,1,49,2023-04-27 21:42:08.896,3,1.5,0
0,1,50,2023-04-27 21:42:11.894,2,1.5,0
0,1,48,2023-04-27 21:42:13.895,4,1.5,0
0,1,49,2023-04-27 21:42:16.901,3,1.5,0
0,1,50,2023-04-27 21:42:19.902,2,1.5,0
0,1,51,2023-04-27 21:42:22.903,1,1.5,0
0,1,50,2023-04-27 21:42:24.915,2,1.5,0
0,1,49,2023-04-27 21:42:27.916,3,1.5,0
0,1,50,2023-04-27 21:42:30.926,2,1.5,0
0,1,50,2023-04-27 21:42:32.929,2,1.5,0
0,1,51,2023-04-27 21:42:35.924,1,1.5,0
0,1,50,2023-04-27 21:42:38.924,2,1.5,0
0,1,49,2023-04-27 21:42:41.941,3,1.5,0
0,1,50,2023-04-27 21:42:43.944,2,1.5,0
0,1,50,2023-04-27 21:42:46.948,2,1.5,0
0,1,50,2023-04-27 21:42:49.946,2,1.5,0
0,1,50,2023-04-27 21:42:52.946,2,1.5,0
0,1,51,2023-04-27 21:42:54.954,1,1.5,0
0,1,48,2023-04-27 21:42:57.957,4,1.5,0
0,1,51,2023-04-27 21:43:00.967,1,1.5,0
0,1,50,2023-04-27 21:43:02.969,2,1.5,0
0,1,49,2023-04-27 21:43:05.961,3,1.5,0
0,1,49,2023-04-27 21:43:08.973,3,1.5,0
0,1,50,2023-04-27 21:43:11.979,2,1.5,0
0,1,50,2023-04-27 21:43:13.976,2,1.5,0
0,1,49,2023-04-27 21:43:16.987,3,1.5,0
0,1,50,2023-04-27 21:43:19.988,2,1.5,0
0,1,50,2023-04-27 21:43:21.986,2,1.5,0
0,1,50,2023-04-27 21:43:24.989,2,1.5,0
0,1,49,2023-04-27 21:43:27.999,3,1.5,0
0,1,50,2023-04-27 21:43:31.003,2,1.5,0
0,1,49,2023-04-27 21:43:32.998,3,1.5,0
0,1,51,2023-04-27 21:43:36.007,1,1.5,0
0,1,51,2023-04-27 21:43:39.01,1,1.5,0
0,1,50,2023-04-27 21:43:41.018,2,1.5,0
0,1,49,2023-04-27 21:43:44.027,3,1.5,0
0,1,49,2023-04-27 21:43:47.025,3,1.5,0
0,1,48,2023-04-27 21:43:50.029,4,1.5,0
0,1,50,2023-04-27 21:43:52.036,2,1.5,0
0,1,51,2023-04-27 21:43:55.04,1,1.5,0
0,1,48,2023-04-27 21:43:58.032,4,1.5,0
0,1,51,2023-04-27 21:44:01.041,1,1.5,0
0,1,49,2023-04-27 21:44:03.052,3,1.5,0
0,1,50,2023-04-27 21:44:06.046,2,1.5,0
0,1,49,2023-04-27 21:44:09.059,3,1.5,0
0,1,49,2023-04-27 21:44:11.064,3,1.5,0
0,1,48,2023-04-27 21:44:14.064,4,1.5,0
0,1,51,2023-04-27 21:44:17.065,1,1.5,0
0,1,51,2023-04-27 21:44:20.077,1,1.5,0
0,1,50,2023-04-27 21:44:22.078,2,1.5,0
0,1,50,2023-04-27 21:44:25.083,2,1.5,0
0,1,51,2023-04-27 21:44:28.082,1,1.5,0
0,1,52,2023-04-27 21:44:30.082,0,1.5,0
0,1,49,2023-04-27 21:44:33.084,3,1.5,0
0,1,51,2023-04-27 21:44:36.092,1,1.5,0
0,1,51,2023-04-27 21:44:39.091,1,1.5,0
0,1,48,2023-04-27 21:44:41.099,4,1.5,0
0,1,49,2023-04-27 21:44:44.108,3,1.5,0
0,1,48,2023-04-27 21:44:47.11,4,1.5,0
0,1,48,2023-04-27 21:44:50.108,4,1.5,0
0,1,48,2023-04-27 21:44:52.115,4,1.5,0
0,1,49,2023-04-27 21:44:55.117,3,1.5,0
0,1,50,2023-04-27 21:44:58.117,2,1.5,0
0,1,49,2023-04-27 21:45:00.129,3,1.5,0
0,1,50,2023-04-27 21:45:03.122,2,1.5,0
0,1,49,2023-04-27 21:45:06.139,3,1.5,0
0,1,49,2023-04-27 21:45:09.141,3,1.5,0
0,1,49,2023-04-27 21:45:11.143,3,1.5,0
0,1,51,2023-04-27 21:45:14.137,1,1.5,0
0,1,48,2023-04-27 21:45:17.148,4,1.5,0
0,1,49,2023-04-27 21:45:19.147,3,1.5,0
0,1,49,2023-04-27 21:45:22.16,3,1.5,0
0,1,51,2023-04-27 21:45:25.153,1,1.5,0
0,1,48,2023-04-27 21:45:28.157,4,1.5,0
0,1,49,2023-04-27 21:45:30.165,3,1.5,0
0,1,50,2023-04-27 21:45:33.165,2,1.5,0
0,1,51,2023-04-27 21:45:36.168,1,1.5,0
0,1,51,2023-04-27 21:45:39.172,1,1.5,0
0,1,50,2023-04-27 21:45:41.186,2,1.5,0
0,1,49,2023-04-27 21:45:44.187,3,1.5,0
0,1,50,2023-04-27 21:45:47.182,2,1.5,0
0,1,50,2023-04-27 21:45:49.191,2,1.5,0
0,1,50,2023-04-27 21:45:52.192,2,1.5,0
0,1,50,2023-04-27 21:45:55.207,2,1.5,0
0,1,49,2023-04-27 21:45:58.209,3,1.5,0
0,1,51,2023-04-27 21:46:00.213,1,1.5,0
0,1,50,2023-04-27 21:46:03.208,2,1.5,0
0,1,49,2023-04-27 21:46:06.208,3,1.5,0
0,1,52,2023-04-27 21:46:08.224,0,1.5,0
0,1,51,2023-04-27 21:46:11.217,1,1.5,0
0,1,49,2023-04-27 21:46:14.224,3,1.5,0
0,1,49,2023-04-27 21:46:17.227,3,1.5,0
0,1,48,2023-04-27 21:46:19.227,4,1.5,0
0,1,50,2023-04-27 21:46:22.243,2,1.5,0
0,1,49,2023-04-27 21:46:25.235,3,1.5,0
0,1,52,2023-04-27 21:46:27.25,0,1.5,0
0,1,50,2023-04-27 21:46:30.244,2,1.5,0
0,1,50,2023-04-27 21:46:33.254,2,1.5,0
0,1,50,2023-04-27 21:46:36.253,2,1.5,0
0,1,49,2023-04-27 21:46:38.255,3,1.5,0
0,1,51,2023-04-27 21:46:41.263,1,1.5,0
0,1,49,2023-04-27 21:46:44.27,3,1.5,0
